Time (ms),Bicep,Shoulder,Tricep
,362,461,371
2970702,360,462,369
2970703,362,461,372
2970704,361,461,371
2970705,363,462,372
2970706,363,462,372
2970707,363,460,372
2970708,363,461,372
2970709,363,462,372
2970710,363,462,373
2970711,362,462,372
2970712,362,461,372
2970713,362,464,371
2970714,361,463,372
2970715,362,462,371
2970716,362,463,371
2970717,361,462,370
2970718,360,463,370
2970719,360,461,369
2970720,361,457,370
2970721,361,461,370
2970722,362,462,370
2970723,361,461,372
2970724,363,460,372
2970725,364,460,372
2970726,363,464,372
2970727,362,462,372
2970728,362,464,372
2970729,362,463,372
2970730,363,464,372
2970731,362,464,372
2970732,363,464,372
2970733,362,465,372
2970734,363,463,370
2970735,362,463,372
2970736,361,462,371
2970737,362,462,372
2970738,362,462,371
2970739,362,462,371
2970740,361,461,370
2970741,359,461,371
2970742,360,460,369
2970743,361,461,371
2970744,361,459,371
2970745,363,460,372
2970746,361,464,373
2970747,362,462,373
2970748,363,464,373
2970749,363,464,374
2970750,364,462,372
2970751,363,464,372
2970752,363,465,372
2970753,363,461,372
2970754,363,463,371
2970755,362,463,370
2970756,360,460,369
2970757,359,461,370
2970758,361,461,370
2970759,360,462,368
2970760,360,460,370
2970761,362,462,371
2970762,359,461,370
2970763,362,462,370
2970764,362,461,371
2970765,362,461,372
2970766,362,462,372
2970767,361,462,372
2970768,363,463,371
2970769,362,462,372
2970770,361,461,369
2970771,363,461,371
2970772,362,464,371
2970773,360,463,370
2970774,361,464,370
2970775,361,462,372
2970776,361,462,369
2970777,361,460,371
2970778,361,460,371
2970779,361,461,370
2970780,360,460,370
2970781,362,461,369
2970782,362,463,371
2970783,360,462,372
2970784,360,462,370
2970785,361,462,372
2970786,363,459,372
2970787,363,462,371
2970788,364,462,373
2970789,363,462,372
2970790,362,465,372
2970791,362,463,374
2970792,362,462,372
2970793,361,464,371
2970794,363,463,371
2970795,361,459,372
2970796,361,461,371
2970797,360,461,369
2970798,359,461,370
2970799,361,460,370
2970800,360,461,370
2970801,361,462,369
2970802,361,461,371
2970803,360,460,371
2970804,361,461,371
2970805,362,459,372
2970806,362,462,371
2970807,362,462,371
2970808,362,462,372
2970809,363,463,372
2970810,363,463,371
2970811,362,462,370
2970812,362,463,372
2970813,361,463,371
2970814,361,463,371
2970815,362,464,370
2970816,361,462,370
2970817,360,462,367
2970818,362,459,370
2970819,359,459,372
2970820,362,461,370
2970821,362,462,369
2970822,362,461,372
2970823,361,462,372
2970824,362,459,372
2970825,362,459,373
2970826,362,462,372
2970827,362,459,373
2970828,363,463,372
2970829,363,463,372
2970830,363,463,371
2970831,361,464,372
2970832,361,461,370
2970833,362,463,370
2970834,363,462,370
2970835,362,461,370
2970836,362,462,371
2970837,360,461,370
2970838,361,461,368
2970839,360,461,370
2970840,360,459,370
2970841,360,462,371
2970842,361,461,369
2970843,360,460,370
2970844,361,457,372
2970845,361,460,371
2970846,362,461,373
2970847,362,462,373
2970848,363,458,372
2970849,362,464,372
2970850,362,463,371
2970851,361,464,372
2970852,362,464,371
2970853,362,463,371
2970854,362,460,371
2970855,360,463,371
2970856,361,462,370
2970857,362,463,369
2970858,361,460,370
2970859,359,459,371
2970860,359,461,369
2970861,360,459,370
2970862,360,460,370
2970863,360,461,370
2970864,362,462,371
2970865,363,462,372
2970866,363,462,372
2970867,363,461,372
2970868,362,463,373
2970869,362,463,373
2970870,363,461,371
2970871,362,464,372
2970872,361,463,371
2970873,361,462,371
2970874,362,462,371
2970875,361,464,372
2970876,362,462,370
2970877,361,461,370
2970878,359,460,369
2970879,360,462,370
2970880,359,461,369
2970881,360,460,369
2970882,359,459,370
2970883,360,461,371
2970884,360,460,370
2970885,362,462,371
2970886,361,461,372
2970887,361,461,371
2970888,363,461,372
2970889,361,462,372
2970890,362,462,370
2970891,360,463,371
2970892,361,461,371
2970893,361,464,372
2970894,360,463,371
2970895,361,461,369
2970896,360,461,369
2970897,360,462,369
2970898,360,460,370
2970899,360,459,370
2970900,360,459,370
2970901,361,459,371
2970902,360,460,370
2970903,359,460,370
2970904,360,460,370
2970905,360,461,371
2970906,362,458,371
2970907,361,461,372
2970908,362,462,371
2970909,361,464,372
2970910,362,462,371
2970911,361,460,372
2970912,363,464,370
2970913,362,462,370
2970914,361,462,371
2970915,361,460,369
2970916,362,462,370
2970917,361,462,368
2970918,360,461,368
2970919,360,457,370
2970920,362,460,369
2970921,360,460,369
2970922,359,459,371
2970923,359,459,370
2970924,360,461,372
2970925,363,459,372
2970926,361,461,372
2970927,361,459,371
2970928,361,461,372
2970929,364,462,372
2970930,361,463,370
2970931,362,462,371
2970932,362,461,371
2970933,361,459,371
2970934,360,463,370
2970935,361,462,370
2970936,359,462,369
2970937,360,459,370
2970938,360,460,370
2970939,359,462,369
2970940,361,460,372
2970941,360,457,370
2970942,360,458,371
2970943,361,459,369
2970944,361,461,371
2970945,361,462,371
2970946,362,461,372
2970947,360,461,373
2970948,361,462,372
2970949,360,462,372
2970950,361,463,370
2970951,361,461,370
2970952,361,464,371
2970953,362,463,370
2970954,361,463,370
2970955,362,462,368
2970956,361,462,370
2970957,360,461,369
2970958,359,460,369
2970959,358,460,368
2970960,360,461,367
2970961,359,460,369
2970962,361,461,370
2970963,360,460,370
2970964,360,458,372
2970965,361,461,371
2970966,360,461,372
2970967,362,458,372
2970968,362,462,371
2970969,363,461,371
2970970,362,463,370
2970971,361,464,372
2970972,362,463,371
2970973,362,462,371
2970974,361,463,371
2970975,361,462,371
2970976,361,461,370
2970977,359,459,368
2970978,360,461,370
2970979,360,460,367
2970980,360,458,371
2970981,361,460,370
2970982,360,459,370
2970983,361,462,370
2970984,360,460,371
2970985,362,463,371
2970986,362,460,372
2970987,362,462,372
2970988,361,460,372
2970989,362,462,371
2970990,362,462,373
2970991,362,461,372
2970992,362,461,370
2970993,361,460,370
2970994,362,462,370
2970995,360,461,369
2970996,361,461,371
2970997,361,462,370
2970998,359,459,371
2970999,359,461,369
2971000,361,460,369
2971001,362,461,369
2971002,361,460,370
2971003,361,461,371
2971004,359,462,371
2971005,362,461,372
2971006,361,461,372
2971007,362,461,372
2971008,362,462,372
2971009,363,464,371
2971010,363,464,371
2971011,362,464,371
2971012,363,462,370
2971013,361,463,371
2971014,361,463,372
2971015,360,463,371
2971016,361,462,369
2971017,361,462,370
2971018,359,460,370
2971019,359,461,370
2971020,360,460,370
2971021,360,460,369
2971022,361,459,370
2971023,362,462,371
2971024,361,457,371
2971025,362,458,371
2971026,361,461,371
2971027,364,462,372
2971028,361,462,372
2971029,363,462,372
2971030,362,465,372
2971031,363,463,372
2971032,362,462,372
2971033,362,461,371
2971034,361,464,371
2971035,362,462,371
2971036,360,462,370
2971037,361,463,369
2971038,362,461,369
2971039,359,461,368
2971040,359,460,369
2971041,359,460,369
2971042,360,459,370
2971043,360,459,370
2971044,361,460,372
2971045,361,461,372
2971046,363,462,373
2971047,362,463,373
2971048,363,463,373
2971049,362,461,374
2971050,363,461,371
2971051,364,464,371
2971052,361,462,370
2971053,361,462,371
2971054,362,464,369
2971055,360,462,372
2971056,360,462,371
2971057,360,463,369
2971058,361,462,370
2971059,360,461,369
2971060,362,460,369
2971061,360,461,370
2971062,361,460,369
2971063,361,457,370
2971064,362,462,370
2971065,361,463,371
2971066,361,462,371
2971067,362,462,370
2971068,362,462,370
2971069,362,462,371
2971070,362,462,371
2971071,361,464,371
2971072,362,461,370
2971073,361,462,370
2971074,361,463,370
2971075,360,461,370
2971076,360,462,369
2971077,360,462,369
2971078,360,460,369
2971079,359,460,369
2971080,360,458,369
2971081,360,459,371
2971082,359,460,371
2971083,361,459,372
2971084,361,460,372
2971085,362,457,372
2971086,362,461,372
2971087,362,461,371
2971088,361,462,373
2971089,363,460,373
2971090,361,462,372
2971091,361,459,372
2971092,362,463,371
2971093,362,462,370
2971094,362,461,370
2971095,362,461,369
2971096,360,461,371
2971097,361,461,369
2971098,359,460,368
2971099,359,456,370
2971100,360,460,370
2971101,360,460,369
2971102,358,460,369
2971103,359,460,371
2971104,359,458,369
2971105,362,459,370
2971106,361,461,370
2971107,361,460,372
2971108,362,461,372
2971109,362,460,371
2971110,362,463,370
2971111,363,462,370
2971112,362,461,370
2971113,361,459,370
2971114,359,461,369
2971115,360,459,368
2971116,360,461,368
2971117,358,459,368
2971118,359,460,369
2971119,360,460,369
2971120,359,458,369
2971121,359,459,370
2971122,360,460,369
2971123,360,460,369
2971124,360,459,369
2971125,361,460,371
2971126,362,460,372
2971127,361,461,372
2971128,362,461,372
2971129,362,459,371
2971130,361,463,371
2971131,361,462,370
2971132,360,462,371
2971133,361,462,371
2971134,362,460,370
2971135,358,460,369
2971136,358,461,369
2971137,359,460,370
2971138,358,460,370
2971139,359,462,370
2971140,359,460,367
2971141,358,458,368
2971142,358,459,369
2971143,360,456,370
2971144,360,459,371
2971145,362,457,371
2971146,360,460,369
2971147,360,461,371
2971148,362,460,371
2971149,362,461,370
2971150,361,461,371
2971151,361,458,371
2971152,361,461,369
2971153,361,461,371
2971154,360,461,367
2971155,361,461,369
2971156,360,462,368
2971157,360,460,368
2971158,359,461,368
2971159,358,460,368
2971160,359,457,369
2971161,360,459,367
2971162,361,459,369
2971163,361,456,370
2971164,362,460,370
2971165,361,460,370
2971166,362,460,371
2971167,363,460,371
2971168,361,461,372
2971169,362,461,370
